origin,destination,vehicle_type,vehicle_type_encoded,base_distance_km,weather_severity,terrain_complexity,actual_eta_minutes,has_disruption
Tezpur Hub,Kohima Health,Light Vehicle (Fast Relief),2,454.02,5.41,1.41,713.2,0
Dibrugarh Hub,Aizawl Hospital,Light Vehicle (Fast Relief),2,355.61,2.61,2.01,557.57,0
Silchar Hub,Kohima Health,Light Vehicle (Fast Relief),2,62.13,0.68,0.97,111.44,1
Dibrugarh Hub,Tawang Clinic,Medium Truck (Food Supply),1,131.78,0.47,6.89,238.6,0
Jorhat Hub,Imphal Care,Medium Truck (Food Supply),1,388.4,1.27,3.75,593.78,1
Guwahati Hub,Kohima Health,Heavy Truck (Medicine),0,499.96,3.27,1.3,797.86,0
Guwahati Hub,Shillong Medical Center,Heavy Truck (Medicine),0,139.71,1.19,8.14,256.24,1
Guwahati Hub,Kohima Health,Heavy Truck (Medicine),0,259.27,1.08,2.92,424.52,0
Guwahati Hub,Tawang Clinic,Medium Truck (Food Supply),1,98.64,3.25,8.71,200.87,0
Dibrugarh Hub,Imphal Care,Light Vehicle (Fast Relief),2,139.25,2.19,0.0,204.38,0
Jorhat Hub,Kohima Health,Heavy Truck (Medicine),0,408.3,3.05,2.47,644.68,0
Jorhat Hub,Shillong Medical Center,Light Vehicle (Fast Relief),2,341.39,4.04,9.08,560.77,1
Dibrugarh Hub,Aizawl Hospital,Light Vehicle (Fast Relief),2,451.21,1.84,1.88,693.84,0
Tezpur Hub,Aizawl Hospital,Light Vehicle (Fast Relief),2,413.69,2.34,0.77,630.46,0
Tezpur Hub,Aizawl Hospital,Medium Truck (Food Supply),1,433.27,1.75,3.41,667.12,0
Silchar Hub,Imphal Care,Light Vehicle (Fast Relief),2,324.65,2.67,2.65,510.79,0
Silchar Hub,Imphal Care,Heavy Truck (Medicine),0,209.67,2.39,2.92,357.66,0
Jorhat Hub,Kohima Health,Heavy Truck (Medicine),0,282.48,3.26,3.54,474.47,0
Tezpur Hub,Tawang Clinic,Light Vehicle (Fast Relief),2,264.24,4.43,6.48,422.09,1
Jorhat Hub,Tawang Clinic,Medium Truck (Food Supply),1,361.3,3.86,6.09,605.58,0
Tezpur Hub,Aizawl Hospital,Medium Truck (Food Supply),1,498.48,0.96,1.23,753.58,0
Jorhat Hub,Aizawl Hospital,Heavy Truck (Medicine),0,104.3,2.09,3.36,194.3,0
